,Mean,Stddev,Median
289,1.7612801,0.21938536,1.7558206
290,1.7636912,0.21661267,1.7602031
291,1.7647104,0.21787469,1.7614312
292,1.7672672,0.21654351,1.7623527
293,1.7670376,0.21362749,1.7631383
294,1.7671076,0.21349482,1.7620733
295,1.7686256,0.2106932,1.769784
296,1.7668128,0.20838752,1.7639768
297,1.7696269,0.20964628,1.765744
298,1.7754455,0.20746924,1.7746935
299,1.7767098,0.20610125,1.7757678
300,1.7767082,0.2052255,1.7728423
301,1.778606,0.20502424,1.7753742
302,1.7799664,0.20617299,1.7729669
303,1.7824719,0.20356742,1.7779232
304,1.780804,0.203089,1.775904
305,1.7822318,0.20337835,1.7753029
306,1.7840039,0.20292437,1.7758663
307,1.7830849,0.20097896,1.773877
308,1.7844048,0.19837503,1.7774944
309,1.783822,0.1977336,1.7761204
310,1.78134,0.19693136,1.7697734
311,1.7831296,0.19716729,1.7745817
312,1.7846717,0.19582352,1.7783712
313,1.7839512,0.19325353,1.7751867
314,1.7842289,0.19253854,1.7755166
315,1.7897736,0.1913889,1.781941
316,1.7893965,0.191329,1.7820815
317,1.7911812,0.19135918,1.7817575
318,1.7963779,0.19000891,1.7888521
319,1.798355,0.19293028,1.7888182
320,1.7982363,0.18964387,1.7895361
321,1.7997143,0.18787333,1.7894815
322,1.7999632,0.1874188,1.7946308
323,1.8052955,0.21257824,1.792809
324,1.8101944,0.21945003,1.798793
325,1.8077312,0.19177529,1.7957518
326,1.8085332,0.2320984,1.7906656
327,1.8110188,0.2753345,1.7982717
328,1.8087417,0.18302111,1.8001437
329,1.8094139,0.18330687,1.8005998
330,1.8095905,0.18267156,1.8006705
331,1.8114078,0.17965873,1.8057625
332,1.8113102,0.18147288,1.8035344
333,1.8126582,0.18146701,1.8014112
334,1.8112859,0.18166228,1.7987802
335,1.81565,0.19717129,1.7991401
336,1.8196884,0.20934153,1.8015671
337,1.8163471,0.19613406,1.8020136
338,1.8163654,0.1908615,1.799745
339,1.8181474,0.20495959,1.8006146
340,1.8206714,0.21258691,1.8007394
341,1.820746,0.20430876,1.8014617
342,1.8219323,0.21506731,1.803631
343,1.8273854,0.22221799,1.8043365
344,1.829956,0.23359993,1.803383
345,1.8299041,0.22440696,1.804667
346,1.8276522,0.22557993,1.8028238
347,1.833957,0.24594142,1.8058274
348,1.8327708,0.24653918,1.8062491
349,1.8295319,0.24681382,1.8096097
350,1.8319832,0.24737544,1.80569
351,1.8386364,0.28262085,1.8103586
352,1.8297701,0.20072724,1.808372
353,1.8287684,0.1948188,1.8088721
354,1.8389794,0.2736594,1.8101065
355,1.8322083,0.21132687,1.8058211
